[2021-12-22 10:00:11,374][train.py][INFO] start training!
[2021-12-22 10:00:18,294][train.py][INFO] epoch:10/25, 9th , loss: 0.03725337237119675
[2021-12-22 10:00:18,344][train.py][INFO] epoch:10/25, 11th , loss: 0.03006950579583645
[2021-12-22 10:00:18,384][train.py][INFO] epoch:11/25, 1th , loss: 0.03502434492111206
[2021-12-22 10:00:18,434][train.py][INFO] epoch:11/25, 3th , loss: 0.03671719878911972
[2021-12-22 10:00:18,484][train.py][INFO] epoch:11/25, 5th , loss: 0.05025552585721016
[2021-12-22 10:00:18,534][train.py][INFO] epoch:11/25, 7th , loss: 0.023236563429236412
[2021-12-22 10:00:18,594][train.py][INFO] epoch:11/25, 9th , loss: 0.03416936844587326
[2021-12-22 10:00:18,644][train.py][INFO] epoch:11/25, 11th , loss: 0.022144140675663948
[2021-12-22 10:00:18,684][train.py][INFO] epoch:12/25, 1th , loss: 0.03753042593598366
[2021-12-22 10:00:18,734][train.py][INFO] epoch:12/25, 3th , loss: 0.032825570553541183
[2021-12-22 10:00:18,784][train.py][INFO] epoch:12/25, 5th , loss: 0.03659841790795326
[2021-12-22 10:00:18,834][train.py][INFO] epoch:12/25, 7th , loss: 0.03255973011255264
[2021-12-22 10:00:18,884][train.py][INFO] epoch:12/25, 9th , loss: 0.03016945719718933
[2021-12-22 10:00:18,944][train.py][INFO] epoch:12/25, 11th , loss: 0.032404255121946335
[2021-12-22 10:00:18,984][train.py][INFO] epoch:13/25, 1th , loss: 0.03187277168035507
[2021-12-22 10:00:19,034][train.py][INFO] epoch:13/25, 3th , loss: 0.021688928827643394
[2021-12-22 10:00:19,084][train.py][INFO] epoch:13/25, 5th , loss: 0.04398933798074722
[2021-12-22 10:00:19,134][train.py][INFO] epoch:13/25, 7th , loss: 0.028529364615678787
[2021-12-22 10:00:19,184][train.py][INFO] epoch:13/25, 9th , loss: 0.029766559600830078
[2021-12-22 10:00:19,234][train.py][INFO] epoch:13/25, 11th , loss: 0.014073866419494152
[2021-12-22 10:00:19,274][train.py][INFO] epoch:14/25, 1th , loss: 0.06126519292593002
[2021-12-22 10:00:19,324][train.py][INFO] epoch:14/25, 3th , loss: 0.02431427128612995
[2021-12-22 10:00:19,374][train.py][INFO] epoch:14/25, 5th , loss: 0.05235182121396065
[2021-12-22 10:00:19,424][train.py][INFO] epoch:14/25, 7th , loss: 0.03144650533795357
[2021-12-22 10:00:19,474][train.py][INFO] epoch:14/25, 9th , loss: 0.02026444301009178
[2021-12-22 10:00:19,524][train.py][INFO] epoch:14/25, 11th , loss: 0.07228532433509827
[2021-12-22 10:00:19,564][train.py][INFO] epoch:15/25, 1th , loss: 0.04484318196773529
[2021-12-22 10:00:19,624][train.py][INFO] epoch:15/25, 3th , loss: 0.03474621847271919
[2021-12-22 10:00:19,664][train.py][INFO] epoch:15/25, 5th , loss: 0.049099765717983246
[2021-12-22 10:00:19,714][train.py][INFO] epoch:15/25, 7th , loss: 0.03792919963598251
[2021-12-22 10:00:19,764][train.py][INFO] epoch:15/25, 9th , loss: 0.01421249471604824
[2021-12-22 10:00:19,814][train.py][INFO] epoch:15/25, 11th , loss: 0.02144499495625496
[2021-12-22 10:00:19,854][train.py][INFO] epoch:16/25, 1th , loss: 0.041924621909856796
[2021-12-22 10:00:19,904][train.py][INFO] epoch:16/25, 3th , loss: 0.031517643481492996
[2021-12-22 10:00:19,954][train.py][INFO] epoch:16/25, 5th , loss: 0.024843666702508926
[2021-12-22 10:00:20,004][train.py][INFO] epoch:16/25, 7th , loss: 0.06152020022273064
[2021-12-22 10:00:20,054][train.py][INFO] epoch:16/25, 9th , loss: 0.03402341529726982
[2021-12-22 10:00:20,104][train.py][INFO] epoch:16/25, 11th , loss: 0.014549121260643005
[2021-12-22 10:00:20,144][train.py][INFO] epoch:17/25, 1th , loss: 0.038169264793395996
[2021-12-22 10:00:20,194][train.py][INFO] epoch:17/25, 3th , loss: 0.016162285581231117
[2021-12-22 10:00:20,244][train.py][INFO] epoch:17/25, 5th , loss: 0.05068725347518921
[2021-12-22 10:00:20,304][train.py][INFO] epoch:17/25, 7th , loss: 0.02164113149046898
[2021-12-22 10:00:20,354][train.py][INFO] epoch:17/25, 9th , loss: 0.0362706296145916
[2021-12-22 10:00:20,394][train.py][INFO] epoch:17/25, 11th , loss: 0.050942279398441315
[2021-12-22 10:00:20,434][train.py][INFO] epoch:18/25, 1th , loss: 0.032859183847904205
[2021-12-22 10:00:20,484][train.py][INFO] epoch:18/25, 3th , loss: 0.02477208338677883
[2021-12-22 10:00:20,534][train.py][INFO] epoch:18/25, 5th , loss: 0.023210477083921432
[2021-12-22 10:00:20,594][train.py][INFO] epoch:18/25, 7th , loss: 0.016196217387914658
[2021-12-22 10:00:20,644][train.py][INFO] epoch:18/25, 9th , loss: 0.027731727808713913
[2021-12-22 10:00:20,694][train.py][INFO] epoch:18/25, 11th , loss: 0.026374420151114464
[2021-12-22 10:00:20,734][train.py][INFO] epoch:19/25, 1th , loss: 0.01772589609026909
[2021-12-22 10:00:20,784][train.py][INFO] epoch:19/25, 3th , loss: 0.014427145943045616
[2021-12-22 10:00:20,844][train.py][INFO] epoch:19/25, 5th , loss: 0.012351224198937416
[2021-12-22 10:00:20,894][train.py][INFO] epoch:19/25, 7th , loss: 0.028833802789449692
[2021-12-22 10:00:20,934][train.py][INFO] epoch:19/25, 9th , loss: 0.021095626056194305
[2021-12-22 10:00:20,994][train.py][INFO] epoch:19/25, 11th , loss: 0.04322276636958122
[2021-12-22 10:00:21,034][train.py][INFO] epoch:20/25, 1th , loss: 0.024616573005914688
[2021-12-22 10:00:21,084][train.py][INFO] epoch:20/25, 3th , loss: 0.05147094652056694
[2021-12-22 10:00:21,144][train.py][INFO] epoch:20/25, 5th , loss: 0.017962351441383362
[2021-12-22 10:00:21,194][train.py][INFO] epoch:20/25, 7th , loss: 0.035582613199949265
[2021-12-22 10:00:21,254][train.py][INFO] epoch:20/25, 9th , loss: 0.01422951091080904
[2021-12-22 10:00:21,294][train.py][INFO] epoch:20/25, 11th , loss: 0.04066377133131027
[2021-12-22 10:00:21,334][train.py][INFO] epoch:21/25, 1th , loss: 0.04296291992068291
[2021-12-22 10:00:21,384][train.py][INFO] epoch:21/25, 3th , loss: 0.02744341269135475
[2021-12-22 10:00:21,444][train.py][INFO] epoch:21/25, 5th , loss: 0.047221191227436066
[2021-12-22 10:00:21,494][train.py][INFO] epoch:21/25, 7th , loss: 0.05088990181684494
[2021-12-22 10:00:21,544][train.py][INFO] epoch:21/25, 9th , loss: 0.04827500134706497
[2021-12-22 10:00:21,594][train.py][INFO] epoch:21/25, 11th , loss: 0.051167797297239304
[2021-12-22 10:00:21,644][train.py][INFO] epoch:22/25, 1th , loss: 0.03399093076586723
[2021-12-22 10:00:21,694][train.py][INFO] epoch:22/25, 3th , loss: 0.03593284264206886
[2021-12-22 10:00:21,744][train.py][INFO] epoch:22/25, 5th , loss: 0.07100587338209152
[2021-12-22 10:00:21,794][train.py][INFO] epoch:22/25, 7th , loss: 0.03778906539082527
